"DATETIME","HIGH","LOW","CLOSE","VOL"
"1503014400","4354","3960","4090","53454616"
"1424304000","244","225","244","46"
"1424390400","245","240.25","240.25","55"
"1424476800","245","245","245","14"
"1424563200","249","235","235","129"
"1424649600","235.001","235","235","96"
"1424736000","239.75","235","239.75","149"
"1424822400","239.75","237.75","237.75","221"
"1424908800","239.79999999","237.75","238.5","0"
"1424995200","249","238.49999999","249","383"
"1425081600","251","240","240.00006025","17"
"1425168000","251","240.0001205","251","0"
"1425254400","269","251","269","98"
"1425340800","274.5","255","267.21999999","442"
"1425427200","280.00000001","258.87499998","280","245"
"1425513600","280.89","257","257.00012","117"
"1425600000","271.00199999","260","260","84"
"1425686400","260.00000522","260.00000522","260.00000522","0"
"1425772800","275.002","260.000031","260.00003101","30"
"1425859200","285","260.00003101","264.00000533","128"
"1425945600","291","264.00006385","291","54"
"1426032000","292.95011129","276.00000001","276.00000001","42"
"1426118400","289.00010602","276","276.00000112","2"
"1426204800","300.99999959","275.11000009","275.11000009","57"
"1426291200","275.1100001","275.1","275.10000036","48"
"1426377600","282.10800036","275.1","282.10800036","29"
"1426464000","300.9999995","275","275","25"
"1426550400","275.00000003","275.00000003","275.00000003","0"
"1426636800","282.00000001","262.09000001","262.09000001","164"
"1426723200","267.01000006","248.82158047","264.84631516","713"
"1426809600","267.97667574","254.82343263","263.56083094","132"
"1426896000","263.56083094","254.69135706","263.19298262","201"
"1426982400","267.51684843","263.77341","267.51684843","64"
"1427068800","274.29809789","260.67351138","260.67351138","61"
"1427155200","271.59604827","242.5255","242.52550736","490"
"1427241600","273","247.47551488","247.47551488","90"
"1427328000","251.36855193","242.5255","242.5255","2"
"1427414400","253.3527","242.91750001","253.3527","0"
"1427500800","258.88067929","243.6819","248.72849578","7"
"1427587200","252.0705","247.96933001","247.96933001","8"
"1427673600","254.35279355","242.52550001","254.35279355","29"
"1427760000","253.7301","242.5255","249.33852966","28"
"1427846400","250","239.87000019","249","14"
"1427932800","255","229.00000001","255","62"
"1428019200","255","253.5","255","27"
"1428105600","254.42717667","248.9973997","254.42717667","184"
"1428192000","262.66977114","252.07634469","254.69622183","125"
"1428278400","254.69622183","254.69622183","254.69622183","0"
"1428364800","257.80755","252.10286502","253.116","366"
"1428451200","268","245.691","248.28703147","396"
"1428537600","269","240.88000001","269","910"
"1428624000","249.89999998","99.00000007","236.195","447"
"1428710400","249.89999997","230.10000001","234.8725","2872"
"1428796800","235.735","230.10000001","232.05","1952"
"1428883200","245.99999999","230.10000001","245.99999987","91"
"1428969600","234.000076","213.7184","219.90926541","373"
"1429056000","225.1395","217.69520791","225.1293","100"
"1429142400","229.57789808","221.29080708","229.57789808","266"
"1429228800","226.62358212","222.9346875","223.48807719","45"
